Project Name (Repository Name),Group Name,Group Depth,Last Activity At (JST),Created At (JST),Project URL
gitlab-org,1,gitlab-org/zap-baseline,2017-12-29 19:59:00,2017-12-29 19:59:00,https://gitlab.com/gitlab-org/zap-baseline
gitlab-org,1,gitlab-org/prometheus-storage-migrator,2021-03-01 20:27:12,2017-12-20 19:23:35,https://gitlab.com/gitlab-org/prometheus-storage-migrator
gitlab-org,1,gitlab-org/gitlab-insights,2022-02-10 02:07:28,2017-12-18 19:16:02,https://gitlab.com/gitlab-org/gitlab-insights
gitlab-org,1,gitlab-org/gl-performance,2021-11-18 19:41:05,2017-12-12 02:08:36,https://gitlab.com/gitlab-org/gl-performance
gitlab-org,1,gitlab-org/open-interview-questions,2018-01-16 06:02:33,2017-11-04 07:29:05,https://gitlab.com/gitlab-org/open-interview-questions
gitlab-org,1,gitlab-org/dco,2021-11-09 19:54:36,2017-11-02 03:15:23,https://gitlab.com/gitlab-org/dco
gitlab-org,1,gitlab-org/gitlab-compose-kit,2022-04-07 17:47:36,2017-11-01 04:46:29,https://gitlab.com/gitlab-org/gitlab-compose-kit
gitlab-org,1,gitlab-org/gitlab_git,2021-11-18 00:49:20,2013-12-26 17:43:12,https://gitlab.com/gitlab-org/gitlab_git
gitlab-org,1,gitlab-org/csslab,2020-11-07 05:13:12,2017-10-14 04:12:43,https://gitlab.com/gitlab-org/csslab
gitlab-org,1,gitlab-org/gl-sast,2021-11-12 22:35:38,2017-10-09 23:58:17,https://gitlab.com/gitlab-org/gl-sast
gitlab-org,1,gitlab-org/gitlab-selenium-server,2021-01-05 09:20:07,2017-09-29 10:22:27,https://gitlab.com/gitlab-org/gitlab-selenium-server
gitlab-org,1,gitlab-org/codeclimate-rubocop,2018-02-20 20:30:03,2017-09-20 00:47:31,https://gitlab.com/gitlab-org/codeclimate-rubocop
gitlab-org,1,gitlab-org/codeclimate,2020-09-02 06:29:35,2017-09-20 00:46:54,https://gitlab.com/gitlab-org/codeclimate
gitlab-org,1,gitlab-org/gitaly-bench,2021-08-31 23:07:24,2017-09-16 00:07:25,https://gitlab.com/gitlab-org/gitaly-bench
gitlab-org,1,gitlab-org/gitlab-svgs,2022-04-15 05:38:10,2017-09-15 00:51:40,https://gitlab.com/gitlab-org/gitlab-svgs
gitlab-org,1,gitlab-org/gitlab-ci-multi-runner-backup,2017-09-26 17:18:59,2017-09-11 20:50:53,https://gitlab.com/gitlab-org/gitlab-ci-multi-runner-backup
gitlab-org,1,gitlab-org/openssh-packages,2017-09-09 15:33:08,2017-09-09 14:25:32,https://gitlab.com/gitlab-org/openssh-packages
gitlab-org,1,gitlab-org/gitlab-aws-quickstart,2022-03-11 06:50:33,2017-08-24 23:41:31,https://gitlab.com/gitlab-org/gitlab-aws-quickstart
gitlab-org,1,gitlab-org/test-zero-config-ci-7,2017-08-17 00:12:02,2017-08-17 00:12:02,https://gitlab.com/gitlab-org/test-zero-config-ci-7
gitlab-org,1,gitlab-org/test-zero-config-ci-6,2017-08-16 23:49:50,2017-08-16 23:49:50,https://gitlab.com/gitlab-org/test-zero-config-ci-6
gitlab-org,1,gitlab-org/gollum-lib,2022-01-12 01:50:45,2014-01-31 01:41:14,https://gitlab.com/gitlab-org/gollum-lib
gitlab-org,1,gitlab-org/css_tooling,2017-08-09 23:02:17,2017-08-09 23:02:17,https://gitlab.com/gitlab-org/css_tooling
gitlab-org,1,gitlab-org/herokuish,2021-11-12 22:35:38,2017-08-08 02:48:06,https://gitlab.com/gitlab-org/herokuish
